INSTITUCIÓN EDUCATIVA;NIVEL_MCER;FECHA
Ana Gómez de Sierra;A2;2017
Ana Gómez de Sierra;A2;2017
Ana Gómez de Sierra;A2;2017
Ana Gómez de Sierra;A2;2017
Antonio Donado Camacho;A2;2017
Antonio Donado Camacho;A2;2017
Antonio Donado Camacho;A1;2017
Antonio Donado Camacho;A2;2017
Baltazar Salazar;A2;2017
Barro Blanco;B1;2017
Barro Blanco;A2;2017
Barro Blanco;A2;2017
Barro Blanco;B2;2017
Barro Blanco;A2;2017
Barro Blanco;B1;2017
Barro Blanco;B1;2017
Concejo Municipal El Porvenir;B2;2017
Concejo Municipal El Porvenir;B2;2017
Concejo Municipal El Porvenir;A2;2017
Concejo Municipal El Porvenir;B1;2017
Concejo Municipal El Porvenir;A2;2017
Concejo Municipal El Porvenir;A2;2017
Concejo Municipal El Porvenir;B1;2017
Concejo Municipal El Porvenir;A2;2017
Concejo Municipal El Porvenir;A2;2017
Domingo Savio;A2;2017
Domingo Savio;A2;2017
Domingo Savio;A2;2017
Escuela Normal Superior de María;A2;2017
Escuela Normal Superior de María;B2;2017
Escuela Normal Superior de María;B2;2017
Escuela Normal Superior de María;B2;2017
Escuela Normal Superior de María;B1;2017
Gilberto Echeverri Mejía;B2;2017
Gilberto Echeverri Mejía;B2;2017
Gilberto Echeverri Mejía;A2;2017
Guillermo Gaviria Correa;A2;2017
Guillermo Gaviria Correa;A2;2017
Guillermo Gaviria Correa;A2;2017
José María Córdoba;A2;2017
Josefina Muñoz González;B2;2017
Josefina Muñoz González;B1;2017
Josefina Muñoz González;A2;2017
Josefina Muñoz González;A2;2017
Josefina Muñoz González;A2;2017
Josefina Muñoz González;B2;2017
Josefina Muñoz González;B2;2017
Josefina Muñoz González;A2;2017
Josefina Muñoz González;A2;2017
La Mosquita;A2;2017
La Mosquita;A2;2017
La Mosquita;A2;2017
La Mosquita;B1;2017
Santa Barbara;A2;2017
Técnico Industrial Santiago de Arma;B2;2017
Técnico Industrial Santiago de Arma;B1;2017
Técnico Industrial Santiago de Arma;B2;2017
Técnico Industrial Santiago de Arma;B2;2017
Técnico Industrial Santiago de Arma;B1;2017
Técnico Industrial Santiago de Arma;B1;2017
Técnico Industrial Santiago de Arma;A2;2017
Técnico Industrial Santiago de Arma;B1;2017
Técnico Industrial Santiago de Arma;B1;2017
Técnico Industrial Santiago de Arma;B2;2017
Técnico Industrial Santiago de Arma;B2;2017
Técnico Industrial Santiago de Arma;A2;2017
Técnico Industrial Santiago de Arma;B2;2017
Técnico Industrial Santiago de Arma;B2;2017
Técnico Industrial Santiago de Arma;B2;2017
Técnico Industrial Santiago de Arma;B2;2017
Ana Gómez de Sierra;A2;2018
Ana Gómez de Sierra;A1;2018
Ana Gómez de Sierra;A2;2018
Ana Gómez de Sierra;A2;2018
Ana Gómez de Sierra;A2;2018
Ana Gómez de Sierra;A1;2018
Ana Gómez de Sierra;A1;2018
Ana Gómez de Sierra;A1;2018
Ana Gómez de Sierra;A2;2018
Ana Gómez de Sierra;A2;2018
Ana Gómez de Sierra;A1;2018
Ana Gómez de Sierra;B1;2018
Antonio Donado Camacho;A1;2018
Antonio Donado Camacho;A1;2018
Antonio Donado Camacho;A1;2018
Antonio Donado Camacho;A2;2018
Antonio Donado Camacho;A2;2018
Antonio Donado Camacho;A1;2018
Antonio Donado Camacho;A1;2018
Antonio Donado Camacho;B1;2018
Antonio Donado Camacho;A2;2018
Antonio Donado Camacho;A1;2018
Antonio Donado Camacho;A1;2018
Antonio Donado Camacho;A1;2018
Antonio Donado Camacho;A1;2018
Antonio Donado Camacho;A1;2018
Antonio Donado Camacho;A2;2018
Antonio Donado Camacho;A2;2018
Antonio Donado Camacho;B1;2018
Antonio Donado Camacho;B1;2018
Antonio Donado Camacho;A1;2018
Baltazar Salazar;A1;2018
Baltazar Salazar;A1;2018
Baltazar Salazar;A1;2018
Baltazar Salazar;A1;2018
Baltazar Salazar;A1;2018
Baltazar Salazar;A1;2018
Baltazar Salazar;A1;2018
Baltazar Salazar;A1;2018
Baltazar Salazar;A1;2018
Baltazar Salazar;A1;2018
Baltazar Salazar;A1;2018
Baltazar Salazar;A1;2018
Baltazar Salazar;A1;2018
Baltazar Salazar;A1;2018
Barro Blanco;A1;2018
Barro Blanco;A1;2018
Barro Blanco;A1;2018
Barro Blanco;A1;2018
Barro Blanco;A1;2018
Barro Blanco;A2;2018
Barro Blanco;A1;2018
Barro Blanco;A1;2018
Barro Blanco;A1;2018
Barro Blanco;A2;2018
Barro Blanco;A2;2018
Barro Blanco;A1;2018
Barro Blanco;A1;2018
Barro Blanco;A1;2018
Barro Blanco;A1;2018
Barro Blanco;A1;2018
Barro Blanco;A1;2018
Barro Blanco;B1;2018
Barro Blanco;A1;2018
Barro Blanco;A1;2018
Barro Blanco;A2;2018
Barro Blanco;A2;2018
Barro Blanco;B1;2018
Barro Blanco;A1;2018
Barro Blanco;A1;2018
Barro Blanco;A1;2018
Barro Blanco;A1;2018
Barro Blanco;A2;2018
Barro Blanco;A1;2018
Barro Blanco;A2;2018
Barro Blanco;A1;2018
Barro Blanco;A1;2018
Barro Blanco;A2;2018
Barro Blanco;B1;2018
Barro Blanco;A1;2018
Barro Blanco;A2;2018
Barro Blanco;A1;2018
Barro Blanco;A1;2018
Barro Blanco;A1;2018
Barro Blanco;A1;2018
Barro Blanco;B1;2018
Barro Blanco;A1;2018
Barro Blanco;A1;2018
Barro Blanco;A1;2018
Concejo Municipal El Porvenir;B1;2018
