INSTITUCIÓN EDUCATIVA;NIVEL_MCER;IDIOMA;FECHA
Ana Gómez de Sierra;A1;Inglés;2025
San Jose de Las Cuchillas;A1;Ingles;2025
Santa Barbara;A1;Ingles;2025
Josefina Muñoz González;A1;Ingles;2025
San Jose de Las Cuchillas;A1;Ingles;2025
Antonio Donado Camacho;A1;Ingles;2025
Ana Gómez de Sierra;A1;Ingles;2025
Domingo Savio;A1;Ingles;2025
Escuela Normal Superior de María;A1;Ingles;2025
Antonio Donado Camacho;A1;Ingles;2025
Santa Barbara;A1;Ingles;2025
Escuela Normal Superior de María;A1;Ingles;2025
La Mosquita;A1;Ingles;2025
Santa Barbara;A1;Ingles;2025
Santa Barbara;A1;Ingles;2025
Santa Barbara;A1;Ingles;2025
Domingo Savio;A1;Ingles;2025
Ana Gómez de Sierra;A2;Ingles;2025
San Jose de Las Cuchillas;A2;Ingles;2025
Domingo Savio;A2;Ingles;2025
Josefina Muñoz González;A2;Ingles;2025
La Mosquita;A2;Ingles;2025
Domingo Savio;A2;Ingles;2025
San Jose de Las Cuchillas;A2;Ingles;2025
Guillermo Gaviria Correa;A2;Ingles;2025
Josefina Muñoz González;A2;Ingles;2025
Ana Gómez de Sierra;A2;Ingles;2025
Ana Gómez de Sierra;A2;Ingles;2025
Guillermo Gaviria Correa;A2;Ingles;2025
Ana Gómez de Sierra;B1;Ingles;2025
Domingo Savio;B1;Ingles;2025
Domingo Savio;B1;Ingles;2025
Josefina Muñoz González;B1;Ingles;2025
Guillermo Gaviria Correa;B1;Ingles;2025
Santa Barbara;B1;Ingles;2025
Escuela Normal Superior de María;B1;Ingles;2025
Antonio Donado Camacho;B1;Ingles;2025
Domingo Savio;B1;Ingles;2025
Josefina Muñoz González;B1;Ingles;2025
Técnico Industrial Santiago de Arma;B1;Ingles;2025
Santa Barbara;B1;Ingles;2025
Josefina Muñoz González;B1;Ingles;2025
San Jose de Las Cuchillas;B2;Ingles;2025
Baltazar Salazar;A2;Ingles;2024
Baltazar Salazar;A2;Ingles;2024
Baltazar Salazar;A1;Ingles;2024
Baltazar Salazar;A1;Ingles;2024
Baltazar Salazar;A2;Ingles;2024
Baltazar Salazar;A2;Ingles;2024
Baltazar Salazar;A2;Ingles;2024
Baltazar Salazar;A2;Ingles;2024
Baltazar Salazar;A1;Ingles;2024
Baltazar Salazar;A1;Ingles;2024
Baltazar Salazar;A1;Ingles;2024
Baltazar Salazar;A1;Ingles;2024
Josefina Muñoz González;A1;Ingles;2024
Baltazar Salazar;C1;Ingles;2024
Baltazar Salazar;A1;Ingles;2024
Baltazar Salazar;A2;Ingles;2024
Baltazar Salazar;C1;Ingles;2024
Baltazar Salazar;A1;Ingles;2024
Baltazar Salazar;A2;Ingles;2024
Baltazar Salazar;A2;Ingles;2024
José María Córdoba;A1;Ingles;2024
Josefina Muñoz González;A1;Ingles;2024
Baltazar Salazar;A2;Ingles;2024
Baltazar Salazar;A1;Ingles;2024
Antonio Donado Camacho;A1;Ingles;2024
San Antonio;A1;Ingles;2024
Sin información;A1;Ingles;2024
San Antonio;A1;Ingles;2024
San Antonio;A1;Ingles;2024
Sin información;A1;Ingles;2024
Josefina Muñoz González;A1;Ingles;2024
San Antonio;A1;Ingles;2024
San Antonio;A1;Ingles;2024
José María Córdoba;A1;Ingles;2024
San Antonio;A1;Ingles;2024
San Antonio;A1;Ingles;2024
Josefina Muñoz González;A1;Ingles;2024
Josefina Muñoz González;A1;Ingles;2024
Barro Blanco;A1;Ingles;2024
Josefina Muñoz González;A1;Ingles;2024
Josefina Muñoz González;A1;Ingles;2024
Josefina Muñoz González;A1;Ingles;2024
José María Córdoba;A1;Ingles;2024
Josefina Muñoz González;A1;Ingles;2024
Ana Gómez de Sierra;A1;Ingles;2024
San Jose de Las Cuchillas;A1;Ingles;2024
José María Córdoba;A1;Ingles;2024
Antonio Donado Camacho;A1;Ingles;2024
Antonio Donado Camacho;A1;Ingles;2024
Ana Gómez de Sierra;A1;Ingles;2024
José María Córdoba;A1;Ingles;2024
