Año;Etapa;Grado;Matriculados
2021;1;3°;98
2021;1;4°;117
2021;1;5°;131
2021;1;6°;110
2021;1;7°;139
2021;1;8°;130
2021;1;9°;115
2021;2;3°;97
2021;2;4°;112
2021;2;5°;126
2021;2;6°;85
2021;2;7°;113
2021;2;8°;101
2021;2;9°;108
2022;1;3°;8
2022;1;4°;81
2022;1;5°;89
2022;1;6°;94
2022;1;7°;53
2022;1;8°;82
2022;1;9°;75
2022;1;10°;80
2022;1;11°;92
2022;2;3°;8
2022;2;4°;76
2022;2;5°;85
2022;2;6°;103
2022;2;7°;58
2022;2;8°;76
2022;2;9°;71
2022;2;10°;69
2022;2;11°;60
2023;1;1°;48
2023;1;2°;58
2023;1;3°;52
2023;1;4°;63
2023;1;5°;95
2023;1;6°;116
2023;1;7°;106
2023;1;8°;52
2023;1;9°;50
2023;1;10°;53
2023;1;11°;51
2023;2;1°;47
2023;2;2°;54
2023;2;3°;45
2023;2;4°;57
2023;2;5°;86
2023;2;6°;97
2023;2;7°;90
2023;2;8°;35
2023;2;9°;47
2023;2;10°;47
2023;2;11°;44
