Año;Sede Nodal;Población;Nivel;Día;Jornada;Matriculados;Etapa
2021;I. E. DOMINGO SAVIO;Inglés Adolescentes;1;Lunes, miércoles y viernes;Tarde;17;1
2021;I. E. DOMINGO SAVIO;Inglés Adolescentes;1;Lunes, miércoles y viernes;Tarde;19;1
2021;I. E. DOMINGO SAVIO;Inglés Adolescentes;1;Lunes, miércoles y viernes;Tarde;14;1
2021;I. E. DOMINGO SAVIO;Inglés Adolescentes;3;Lunes, miércoles y viernes;Tarde;8;1
2021;I. E. DOMINGO SAVIO;Inglés Adolescentes;1;Martes, jueves y viernes;Tarde;21;1
2021;I. E. DOMINGO SAVIO;Inglés Adolescentes;1;Martes, jueves y viernes;Tarde;23;1
2021;I. E. DOMINGO SAVIO;Inglés Adolescentes;1;Martes, jueves y viernes;Tarde;20;1
2021;I. E. DOMINGO SAVIO;Inglés Adolescentes;1;Martes, jueves y viernes;Tarde;20;1
2021;I. E. DOMINGO SAVIO;Inglés Adolescentes;3;Martes, jueves y viernes;Tarde;10;1
2021;I. E. DOMINGO SAVIO;Inglés Niños;1;Martes, miércoles y jueves;Tarde;27;1
2021;I. E. DOMINGO SAVIO;Inglés Niños;1;Martes, miércoles y jueves;Tarde;32;1
2021;I. E. DOMINGO SAVIO;Inglés Niños;3;Martes, miércoles y jueves;Tarde;18;1
2022;I. E. DOMINGO SAVIO;Inglés Adolescentes;1;Lunes y miércoles;Tarde;23;1
2022;I. E. DOMINGO SAVIO;Inglés Adolescentes;2;Martes y jueves;Tarde;21;1
2022;I. E. DOMINGO SAVIO;Inglés Adolescentes;3;Lunes y miércoles;Tarde;20;1
2022;I. E. DOMINGO SAVIO;Inglés Adolescentes;2;Lunes y miércoles;Tarde;13;1
2022;I. E. DOMINGO SAVIO;Inglés Adolescentes;1;Martes y jueves;Tarde;24;1
2022;I. E. DOMINGO SAVIO;Inglés Adolescentes;5;Lunes y martes;Tarde;15;1
2022;I. E. DOMINGO SAVIO;Inglés Adolescentes;1;Lunes y miércoles;Tarde;22;1
2022;I. E. DOMINGO SAVIO;Inglés Adolescentes;2;Martes y jueves;Tarde;16;1
2022;I. E. DOMINGO SAVIO;Inglés Adolescentes;2;Lunes y miércoles;Tarde;21;1
2022;I. E. DOMINGO SAVIO;Inglés Adolescentes;1;Lunes y miércoles;Tarde;24;1
2022;I. E. DOMINGO SAVIO;Inglés Adolescentes;2;Martes y jueves;Tarde;16;1
2022;I. E. DOMINGO SAVIO;Inglés Niños;1;Martes y jueves;Tarde;24;1
2022;I. E. DOMINGO SAVIO;Inglés Niños;1;Martes y jueves;Tarde;24;1
2022;I. E. DOMINGO SAVIO;Inglés Niños;2;Martes y jueves;Tarde;24;1
2022;I. E. DOMINGO SAVIO;Inglés Niños;2;Martes y jueves;Tarde;24;1
2022;I. E. SAN ANTONIO;Inglés Niños;1;Martes y jueves;Mañana;29;1
2022;I. E. SAN ANTONIO;Inglés Niños;1;Martes y jueves;Mañana;23;1
2022;I. E. SAN ANTONIO;Inglés Niños;1;Martes y jueves;Mañana;24;1
2022;I. E. SAN ANTONIO;Inglés Niños;1;Martes y jueves;Mañana;26;1
2022;I. E. SAN ANTONIO;Inglés Niños;1;Martes y jueves;Mañana;23;1
2022;I. E. SAN ANTONIO;Inglés Niños;1;Martes y jueves;Mañana;23;1
2022;I. E. SAN ANTONIO;Inglés Niños;1;Martes y jueves;Mañana;28;1
2022;I. E. SAN ANTONIO;Inglés Niños;1;Martes y jueves;Mañana;22;1
2022;I. E. SAN ANTONIO;Inglés Adolescentes;1;Lunes y miércoles;Mañana;26;1
2022;I. E. SAN ANTONIO;Inglés Adolescentes;1;Lunes y miércoles;Mañana;26;1
2022;I. E. SAN ANTONIO;Inglés Adolescentes;1;Lunes y miércoles;Mañana;25;1
2022;I. E. SAN ANTONIO;Inglés Adolescentes;1;Lunes y miércoles;Mañana;25;1
2022;I. E. SAN ANTONIO;Inglés Adolescentes;1;Martes y jueves;Mañana;25;1
2022;I. E. SAN ANTONIO;Inglés Adolescentes;1;Martes y jueves;Mañana;25;1
2022;I. E. SAN ANTONIO;Inglés Adolescentes;1;Miércoles y viernes;Mañana;24;1
2022;I. E. SAN ANTONIO;Inglés Adolescentes;1;Miércoles y viernes;Mañana;24;1
2022;I. E. SAN ANTONIO;Inglés Adolescentes;1;Miércoles y viernes;Mañana;21;1
2022;I. E. SAN ANTONIO;Inglés Adolescentes;1;Miércoles y viernes;Mañana;22;1
2022;I. E. SAN ANTONIO;Inglés Adolescentes;1;Miércoles y viernes;Mañana;22;1
2022;I. E. SAN ANTONIO;Inglés Adolescentes;1;Lunes y miércoles;Mañana;27;1
2022;I. E. SAN ANTONIO;Inglés Adolescentes;1;Lunes y miércoles;Mañana;26;1
2022;I. E. SAN ANTONIO;Inglés Adolescentes;1;Martes y jueves;Mañana;26;1
2022;I. E. SAN ANTONIO;Inglés Adolescentes;1;Martes y jueves;Mañana;26;1
2022;I. E. SAN ANTONIO;Inglés Adolescentes;1;Martes y viernes;Mañana;25;1
2022;I. E. SAN ANTONIO;Inglés Adolescentes;1;Martes y viernes;Mañana;25;1
2022;I. E. SAN ANTONIO;Inglés Adolescentes;1;Martes y viernes;Mañana;23;1
2022;I. E. SAN ANTONIO;Inglés Adolescentes;1;Miércoles y viernes;Mañana;18;1
2022;I. E. SAN ANTONIO;Inglés Adolescentes;1;Miércoles y viernes;Mañana;19;1
2022;I. E. SAN ANTONIO;Inglés Adolescentes;1;Miércoles y viernes;Mañana;17;1
2022;I. E. SAN ANTONIO;Inglés Adolescentes;1;Martes y viernes;Mañana;12;1
2022;I. E. SAN ANTONIO;Inglés Adolescentes;1;Miércoles y viernes;Mañana;7;1
